ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,source_file,stock_name,rsi_14,ema_12,ema_26,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_percent_b,atr_14
000001.SZ,2024-01-02,9.39,9.42,9.21,9.21,9.39,-0.18,-1.9169,1158366.45,1075742.252,平安集团行情数据.csv,平安集团,,,,,,,,,,,,
000001.SZ,2024-01-03,9.19,9.22,9.15,9.2,9.21,-0.01,-0.1086,733610.31,673673.614,平安集团行情数据.csv,平安集团,,,,,,,,,,,,
000001.SZ,2024-01-04,9.19,9.19,9.08,9.11,9.2,-0.09,-0.9783,864193.99,787470.082,平安集团行情数据.csv,平安集团,,,,,,,,,,,,
000001.SZ,2024-01-05,9.1,9.44,9.07,9.27,9.11,0.16,1.7563,1991622.16,1852659.692,平安集团行情数据.csv,平安集团,,,,,,,,,,,,
000001.SZ,2024-01-08,9.23,9.3,9.11,9.15,9.27,-0.12,-1.2945,1121156.19,1029006.549,平安集团行情数据.csv,平安集团,,,,,,,,,,,,
000001.SZ,2024-01-09,9.16,9.19,9.09,9.18,9.15,0.03,0.3279,766193.88,700375.72,平安集团行情数据.csv,平安集团,,,,,,,,,,,,
000001.SZ,2024-01-10,9.16,9.19,9.09,9.09,9.18,-0.09,-0.9804,858620.91,783771.15,平安集团行情数据.csv,平安集团,,,,,,,,,,,,
000001.SZ,2024-01-11,9.08,9.22,9.03,9.17,9.09,0.08,0.8801,934686.37,853890.237,平安集团行情数据.csv,平安集团,,,,,,,,,,,,
000001.SZ,2024-01-12,9.13,9.27,9.11,9.19,9.17,0.02,0.2181,772582.15,711018.266,平安集团行情数据.csv,平安集团,,,,,,,,,,,,
000001.SZ,2024-01-15,9.16,9.29,9.13,9.21,9.19,0.02,0.2176,745132.66,685950.951,平安集团行情数据.csv,平安集团,,,,,,,,,,,,
000001.SZ,2024-01-16,9.19,9.35,9.16,9.34,9.21,0.13,1.4115,1438312.58,1334465.409,平安集团行情数据.csv,平安集团,,,,,,,,,,,,
000001.SZ,2024-01-17,9.33,9.39,9.23,9.23,9.34,-0.11,-1.1777,1482296.21,1380725.065,平安集团行情数据.csv,平安集团,,9.211128225176111,,,,,,,,,,
000001.SZ,2024-01-18,9.21,9.24,9.0,9.2,9.23,-0.03,-0.325,1755132.47,1597853.727,平安集团行情数据.csv,平安集团,,9.209416190533632,,,,,,,,,,
000001.SZ,2024-01-19,9.16,9.2,9.1,9.17,9.2,-0.03,-0.3261,963981.42,881865.024,平安集团行情数据.csv,平安集团,,9.203352161220765,,,,,,,,,,
000001.SZ,2024-01-22,9.16,9.26,9.04,9.1,9.17,-0.07,-0.7634,1580319.66,1449858.242,平安集团行情数据.csv,平安集团,44.444444444444386,9.187451828725264,,,,,,,,,,0.16928571428571423
000001.SZ,2024-01-23,9.05,9.18,8.96,9.16,9.1,0.06,0.6593,1135544.58,1030898.421,平安集团行情数据.csv,平安集团,47.84828592268415,9.183228470459838,,,,,,,,,,0.172908163265306
000001.SZ,2024-01-24,9.23,9.34,9.07,9.33,9.16,0.17,1.8559,1759123.16,1620099.272,平安集团行情数据.csv,平安集团,56.062396596549256,9.205808705773709,,,,,,,,,,0.17984329446064123
