Feature,Importance
z_基本每股收益(同比增长率),0.26721750282380674
z_MV,0.11726362025977635
z_growth_composite,0.09679455729187193
z_市盈率PE(TTM),0.09107589798882049
z_earnings_yield,0.09033133211582664
z_sales_yield,0.06803456435717678
z_经营活动产生的现金流量净额(同比增长率),0.059347471556546814
z_总资产同比增长率,0.035344501411265494
z_净利润同比增长率,0.030289512823575133
z_营业收入(同比增长率),0.0297484477335276
z_企业倍数(EV除EBITDA),0.02818068814238058
z_log_MV,0.027745755795571977
z_营业总收入(同比增长率),0.024340477541029616
z_营业利润(同比增长率),0.022999825128098665
z_净资产同比增长率,0.0059098149742868485
"z_市盈率PE(TTM,扣除非经常性损益)",0.005376030056438494
z_利润总额(同比增长率),0.0
z_市净率PB(MRQ),0.0
z_现金净流量同比增长率,0.0
z_股息率(近12个月),0.0
z_市销率PS(TTM),0.0
z_book_to_price,0.0
z_市现率PCF(经营现金流TTM),0.0
z_市现率PCF(现金净流量TTM),0.0
z_cashflow_growth_composite,0.0
z_fundamental_growth_gap,0.0
