ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,ma120,macd_diff,macd_dea,macd_hist,rsi14,daily_return,volatility20,drawdown,volume_ma20
688017.SH,2025-06-30,124.8,126.37,123.58,124.89,124.1,0.79,0.6366,27684.42,346153.401,,,,,0.0,0.0,0.0,,,,0.0,
688017.SH,2025-07-01,124.28,124.97,122.22,123.14,124.89,-1.75,-1.4012,22443.51,276694.229,,,,,-0.1396011396011403,-0.02792022792022806,-0.22336182336182447,,-0.014012330851149057,,-0.014012330851149057,
688017.SH,2025-07-02,122.2,123.13,119.0,120.05,123.14,-3.09,-2.5093,25425.54,305891.013,,,,,-0.4938800821421978,-0.12111219876462202,-0.7455357667551515,,-0.025093389637810604,,-0.038754103611177815,
688017.SH,2025-07-03,119.91,121.17,118.9,120.1,120.05,0.05,0.0416,17729.38,212380.751,,,,,-0.7618321871855613,-0.24925619644880992,-1.0251519814735028,,0.0004164931278634043,,-0.038353751301145045,
688017.SH,2025-07-04,121.0,121.66,117.82,119.06,120.1,-1.04,-0.8659,24074.09,287398.829,121.44800000000001,,,,-1.0460472872943427,-0.4086144146179165,-1.2748657453528525,,-0.00865945045795169,,-0.04668107934982779,
688017.SH,2025-07-07,117.0,117.0,114.23,115.12,119.06,-3.94,-3.3093,42861.76,494410.388,119.494,,,,-1.5711041630229516,-0.6411123642989235,-1.8599835974480563,,-0.033092558373929104,,-0.07822884138041475,
688017.SH,2025-07-08,115.32,119.29,114.66,118.79,115.12,3.67,3.188,35343.33,415912.091,118.624,,,,-1.671805656394099,-0.8472510227179586,-1.649109267352281,,0.03187977762334948,,-0.04884298182400504,
688017.SH,2025-07-09,122.0,123.88,117.66,118.09,118.79,-0.7,-0.5893,48848.49,590926.175,118.23200000000001,,,,-1.7874913773384975,-1.0352990936420665,-1.504384567392862,,-0.005892751915144379,,-0.054447914164464706,
688017.SH,2025-07-10,116.74,119.47,116.67,118.86,118.09,0.77,0.652,28769.62,339091.077,117.984,,,,-1.7963335646614524,-1.1875059878459437,-1.2176551536310174,,0.00652045050385297,,-0.048282488589959205,
688017.SH,2025-07-11,118.08,123.85,117.88,121.89,118.86,3.03,2.5492,53533.1,649293.954,118.55,,,,-1.5410807648186307,-1.2582209432404812,-0.565719643156299,,0.0254921756688542,,-0.02402113860196975,
688017.SH,2025-07-14,123.49,126.0,121.99,124.72,121.89,2.83,2.3218,54537.09,677249.157,120.47,,,,-1.097779217764355,-1.226132598145256,0.2567067607618019,,0.02321765526294195,,-0.0013611978541115954,
688017.SH,2025-07-15,125.0,125.27,122.25,124.4,124.72,-0.32,-0.2566,40596.84,502460.992,121.59200000000001,,,,-0.7634799519210844,-1.1336020689004218,0.7402442339586748,,-0.0025657472738934706,,-0.003923452638321723,
688017.SH,2025-07-16,124.5,129.2,123.74,126.39,124.4,1.99,1.5997,57714.24,730993.85,123.252,,,,-0.33411750771999493,-0.9737051566643365,1.2791752978886832,,0.015996784565916355,,0.0,
688017.SH,2025-07-17,125.0,130.88,124.61,129.01,126.39,2.62,2.0729,63789.16,819461.39,125.282,,,,0.21508802557396223,-0.7359465202166768,1.9020690915812781,,0.020729488092412263,,0.0,
688017.SH,2025-07-18,130.3,130.97,127.6,128.89,129.01,-0.12,-0.093,39427.96,507695.449,126.68199999999999,,,,0.6333534658974429,-0.4620865229938529,2.1908799777825916,43.873925369535655,-0.0009301604526781304,,-0.0009301604526781304,
688017.SH,2025-07-21,132.1,138.0,130.78,134.67,128.89,5.78,4.4844,82439.32,1109577.228,128.67199999999997,,,,1.4149192272232796,-0.0866853729504264,3.003209200347412,55.12807176183897,0.04484444099619833,,0.0,
